	Kingdom	Phylum	Class	Order	Family	Genus
sq4787	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq4788	Bacteria	Proteobacteria	Gammaproteobacteria	HglApr721	HglApr721_uc	HglApr721_uc
sq4789	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq4790	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae_uc
sq4791	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq4792	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus
sq4793	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
sq4794	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae_uc
sq4795	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq4796	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq4797	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
sq4798	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade	OM182_clade_uc	OM182_clade_uc
sq4799	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353	UBA10353_uc	UBA10353_uc
sq4800	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II_uc	Marine_Group_II_uc
sq4801	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
